timestamp,open,high,low,close,volume
2024-07-22,184.49,184.98,176.72,178.91,539961.0
2024-07-23,178.91,180.54,170.54,173.02,663763.94
2024-07-24,173.02,182.47,171.0,178.07,630777.12
2024-07-25,178.07,179.59,165.48,171.85,814131.27
2024-07-26,171.85,184.0,171.71,183.06,447642.93
2024-07-27,183.06,188.29,178.11,183.92,454403.71
2024-07-28,183.92,186.68,181.16,184.91,295291.52
2024-07-29,184.91,193.98,181.66,182.58,457783.42
2024-07-30,182.58,184.8,175.44,179.02,273095.95
2024-07-31,179.02,184.57,171.61,171.69,277645.17
2024-08-01,171.69,172.87,157.92,167.47,466964.61
2024-08-02,167.47,169.42,150.0,152.9,470976.36
2024-08-03,152.9,154.03,140.01,142.45,467083.39
2024-08-04,142.45,146.06,131.33,138.29,583012.57
2024-08-05,138.29,139.38,110.01,129.76,1965769.97
2024-08-06,129.76,149.53,129.41,144.39,726054.08
2024-08-07,144.39,154.99,142.34,144.73,697945.43
2024-08-08,144.73,163.67,141.4,163.12,587415.16
2024-08-09,163.12,163.55,150.79,156.29,348121.9
2024-08-10,156.29,158.69,152.66,154.0,193413.13
2024-08-11,154.0,157.95,141.2,141.5,196339.78
2024-08-12,141.5,150.77,141.27,146.31,235029.86
2024-08-13,146.31,149.82,143.0,146.66,158262.59
2024-08-14,146.66,152.07,142.34,143.79,208356.2
2024-08-15,143.79,147.59,137.83,142.6,200502.49
2024-08-16,142.6,144.88,136.18,139.02,176628.59
2024-08-17,139.02,141.98,137.67,141.93,99903.95
2024-08-18,141.93,147.26,140.58,142.42,132465.12
2024-08-19,142.42,146.2,140.38,144.29,129494.32
2024-08-20,144.29,148.73,141.0,142.27,138291.11
2024-08-21,142.27,144.36,138.81,142.75,172773.87
2024-08-22,142.75,144.86,140.69,143.22,96635.12
2024-08-23,143.22,154.02,142.71,153.24,150715.09
2024-08-24,153.24,162.3,151.98,160.66,213696.24
2024-08-25,160.66,161.99,155.29,158.93,148505.04
2024-08-26,158.93,161.99,155.57,157.13,152222.88
2024-08-27,157.13,159.64,145.06,146.76,166255.03
2024-08-28,146.76,149.0,140.54,143.91,171219.26
2024-08-29,143.91,147.33,138.1,140.05,91902.73
2024-08-30,140.05,141.11,132.1,137.97,190163.0
2024-08-31,137.97,139.22,134.5,135.36,50521.65
2024-09-01,135.36,136.1,127.77,128.52,135632.19
2024-09-02,128.52,135.38,126.85,134.95,142255.29
2024-09-03,134.95,137.9,127.2,127.57,88577.19
2024-09-04,127.57,134.91,122.64,133.64,115788.22
2024-09-05,133.64,135.4,127.94,129.42,107935.65
