timestamp,open,high,low,close,volume
2024-10-18 13:00:00,152.39,153.05,152.25,152.75,1455.51
2024-10-18 13:15:00,152.75,153.13,152.62,153.02,2449.97
2024-10-18 13:30:00,153.02,153.91,152.74,153.9,2888.24
2024-10-18 13:45:00,153.9,153.91,153.04,153.79,2112.6
2024-10-18 14:00:00,153.79,154.77,153.35,153.39,5113.29
2024-10-18 14:15:00,153.39,154.1,153.0,154.06,4104.81
2024-10-18 14:30:00,154.06,154.74,153.96,154.48,3764.71
2024-10-18 14:45:00,154.48,154.6,154.05,154.42,1554.01
2024-10-18 15:00:00,154.42,154.97,154.1,154.19,2936.52
2024-10-18 15:15:00,154.19,154.88,153.92,154.87,2541.94
2024-10-18 15:30:00,154.87,155.23,154.6,155.01,3116.97
2024-10-18 15:45:00,155.01,155.19,154.69,154.71,1939.58
2024-10-18 16:00:00,154.71,154.82,153.65,153.9,1664.3
2024-10-18 16:15:00,153.9,154.66,153.89,154.63,1946.48
2024-10-18 16:30:00,154.63,155.38,154.28,155.23,1832.07
2024-10-18 16:45:00,155.23,156.07,155.0,155.7,4334.8
2024-10-18 17:00:00,155.7,155.98,155.52,155.69,1645.61
2024-10-18 17:15:00,155.69,155.81,155.36,155.49,1931.6
2024-10-18 17:30:00,155.49,156.06,155.34,156.03,1807.5
2024-10-18 17:45:00,156.03,156.24,155.49,155.5,2022.26
2024-10-18 18:00:00,155.5,155.73,155.2,155.71,1500.0
2024-10-18 18:15:00,155.71,156.37,155.71,156.26,2208.31
2024-10-18 18:30:00,156.26,156.66,156.0,156.45,2637.04
2024-10-18 18:45:00,156.45,156.55,155.96,156.11,2014.99
2024-10-18 19:00:00,156.11,156.18,155.78,155.86,1415.2
2024-10-18 19:15:00,155.86,155.9,155.45,155.45,1816.91
2024-10-18 19:30:00,155.45,155.58,154.69,154.76,1603.0
2024-10-18 19:45:00,154.76,154.93,154.51,154.84,2190.89
2024-10-18 20:00:00,154.84,154.86,154.51,154.62,339.31
2024-10-18 20:15:00,154.62,154.62,154.62,154.62,0.0
2024-10-18 20:30:00,154.62,154.91,154.62,154.84,56.58
2024-10-18 20:45:00,154.84,154.93,154.52,154.58,977.55
2024-10-18 21:00:00,154.58,154.75,154.52,154.63,668.51
2024-10-18 21:15:00,154.63,154.72,154.37,154.38,1036.02
2024-10-18 21:30:00,154.38,154.67,154.2,154.22,763.14
2024-10-18 21:45:00,154.22,154.38,153.77,154.37,1300.67
2024-10-18 22:00:00,154.37,154.4,153.87,154.02,918.68
2024-10-18 22:15:00,154.02,154.27,153.97,154.11,613.35
2024-10-18 22:30:00,154.11,154.32,154.0,154.32,808.0
2024-10-18 22:45:00,154.32,154.32,154.13,154.3,697.33
2024-10-18 23:00:00,154.3,154.69,154.26,154.67,507.13
2024-10-18 23:15:00,154.67,154.81,154.63,154.78,829.17
2024-10-18 23:30:00,154.78,154.94,154.69,154.94,460.88
2024-10-18 23:45:00,154.94,155.18,154.87,154.94,836.74
2024-10-19 00:00:00,154.94,155.1,154.6,154.7,937.99
2024-10-19 00:15:00,154.7,155.05,154.67,154.97,733.54
2024-10-19 00:30:00,154.97,155.0,154.49,154.5,639.63
2024-10-19 00:45:00,154.5,154.77,154.4,154.54,648.16
2024-10-19 01:00:00,154.54,154.97,154.48,154.96,834.78
